date,time,shooter,team,keeper,opposition,result,home_team,away_team,home_score,away_score,goal,on_target,save
3/7/2015,89:42:00,Jozy Altidore,Toronto,David Ousted,Vancouver,Goal,Vancouver,Toronto,1,2,1,1,0
3/9/2015,24:36:00,Clint Dempsey,Seattle,Bobby Shuttleworth,New England,Goal,Seattle,New England,0,0,1,1,0
3/15/2015,85:57:00,Alvaro Saborio,Salt Lake,Rais M'bolhi,Philadelphia,Goal,Salt Lake,Philadelphia,2,3,1,1,0
3/15/2015,78:56:00,Dominic Dwyer,Kansas City,Chris Seitz,FC Dallas,Saved,FC Dallas,Kansas City,3,1,0,1,1
3/22/2015,91:01:00,Chris Pontius,DC United,Luis Robles,New York,Miss,New York,DC United,2,0,0,0,0
3/28/2015,13:40,Ignacio Piatti,Montreal,Donovan Ricketts,Orlando City,Goal,Montreal,Orlando City,0,0,1,1,0
3/28/2015,61:25:00,Chris Wondolowski,San Jose,Bobby Shuttleworth,New England,Goal,New England,San Jose,2,0,1,1,0
3/28/2015,48:38:00,Bradley Wright-Phillips,New York,Steve Clark,Columbus,Goal,Columbus,New York,0,0,1,1,0
4/5/2015,53:54:00,Lee Nguyen,New England,Clint Irwin,Colorado,Goal,Colorado,New England,0,1,1,1,0
4/12/2015,84:40:00,Kaka,Orlando City,Adam Larsen Kwarasey,Portland,Goal,Portland,Orlando City,0,1,1,1,0
4/26/2015,79:37:00,Benny Feilhaber,Kansas City,Tyler Deric,Houston,Goal,Houston,Kansas City,3,2,1,1,0
4/30/2015,29:27:00,Bradley Wright-Phillips,New York,Clint Irwin,Colorado,Goal,New York,Colorado,0,1,1,1,0
5/3/2015,30:13:00,Darlington Nagbe,Portland,David Ousted,Vancouver,Post,Portland,Vancouver,0,0,0,0,0
5/6/2015,57:40:00,Giles Barnes,Houston,David Bingham,San Jose,Saved,Houston,San Jose,0,1,0,1,1
5/7/2015,91:53:00,Juninho,L.A. Galaxy,Nick Rimando,Salt Lake,Saved,Salt Lake,L.A. Galaxy,0,0,0,1,1
5/9/2015,87:29:00,Jeff Larentowicz,Chicago,Nick Rimando,Salt Lake,Goal,Chicago,Salt Lake,0,2,1,1,0
5/10/2015,43:00:00,Boniek Garcia,Houston,Chris Konopka,Toronto,Saved,Toronto,Houston,0,0,0,1,1
5/16/2015,26:51:00,Jeff Larentowicz,Chicago,Josh Saunders,New York City FC,Goal,New York City FC,Chicago,0,1,1,1,0
5/16/2015,42:51:00,Ignacio Piatti,Montreal,Nick Rimando,Salt Lake,Post,Montreal,Salt Lake,3,0,0,0,0
5/17/2015,55:22:00,Kaka,Orlando City,Jaime Penedo,L.A. Galaxy,Goal,Orlando City,L.A. Galaxy,2,0,1,1,0
5/21/2015,42:01:00,Benny Feilhaber,Kansas City,Brad Knighton,New England,Goal,Kansas City,New England,2,1,1,1,0
5/24/2015,24:25:00,Ignacio Piatti,Montreal,Dan Kennedy,FC Dallas,Goal,Montreal,FC Dallas,0,0,1,1,0
5/25/2015,63:12:00,Kaka,Orlando City,David Bingham,San Jose,Goal,San Jose,Orlando City,0,0,1,1,0
5/25/2015,67:01:00,Chris Wondolowski,San Jose,Tally Hall,Orlando City,Goal,San Jose,Orlando City,0,1,1,1,0
5/28/2015,6:04,Juninho,L.A. Galaxy,Nick Rimando,Salt Lake,Goal,L.A. Galaxy,Salt Lake,0,0,1,1,0
5/30/2015,23:18,Chris Wondolowski,San Jose,Chris Konopka,Toronto,Goal,Toronto,San Jose,1,0,1,1,0
5/31/2015,84:34:00,Chris Rolfe,DC United,Brian Sylvestre,Philadelphia,Goal,DC United,Philadelphia,1,1,1,1,0
5/31/2015,44:02:00,Jeff Larentowicz,Chicago,Evan Bush,Montreal,Goal,Chicago,Montreal,1,0,1,1,0
5/31/2015,16:08,Kaka,Orlando City,Steve Clark,Columbus,Goal,Orlando City,Columbus,0,1,1,1,0
5/31/2015,45:07:00,David Villa,New York City FC,Tyler Deric,Houston,Goal,New York City FC,Houston,0,1,1,1,0
6/4/2015,26:47:00,Jeff Larentowicz,Chicago,Andrew Dykstra,DC United,Saved,DC United,Chicago,0,0,0,1,1
6/4/2015,79:00:00,Pedro Morales,Vancouver,Evan Bush,Montreal,Goal,Montreal,Vancouver,1,0,1,1,0
6/7/2015,83:02:00,Benny Feilhaber,Kansas City,Stefan Frei,Seattle,Goal,Kansas City,Seattle,0,0,1,1,0
6/7/2015,88:41:00,Dillon Powers,Colorado,Nick Rimando,Salt Lake,Miss,Salt Lake,Colorado,0,0,0,0,0
6/15/2015,29:10:00,Kaka,Orlando City,Bill Hamid,DC United,Saved,Orlando City,DC United,0,0,0,1,1
6/21/2015,4:56,Bradley Wright-Phillips,New York,David Ousted,Vancouver,Saved,New York,Vancouver,0,0,0,1,1
6/21/2015,64:55:00,Bradley Wright-Phillips,New York,David Ousted,Vancouver,Saved,New York,Vancouver,0,1,0,1,1
6/21/2015,60:19:00,Gaston Fernandez,Portland,Tyler Deric,Houston,Goal,Portland,Houston,1,0,1,1,0
6/21/2015,80:37:00,Chris Rolfe,DC United,Bobby Shuttleworth,New England,Goal,DC United,New England,1,1,1,1,0
6/21/2015,8:00,David Villa,New York City FC,Chris Konopka,Toronto,Goal,Toronto,New York City FC,0,0,1,1,0
6/25/2015,17:09,Robbie Keane,L.A. Galaxy,Adam Larsen Kwarasey,Portland,Goal,L.A. Galaxy,Portland,1,0,1,1,0
6/25/2015,31:33:00,Maurice Edu,Philadelphia,Stefan Frei,Seattle,Saved,Philadelphia,Seattle,0,0,0,1,1
6/25/2015,81:07:00,Sebastian Giovinco,Toronto,Evan Bush,Montreal,Goal,Toronto,Montreal,2,1,1,1,0
6/28/2015,30:18:00,Octavio Rivero,Vancouver,Bobby Shuttleworth,New England,Goal,New England,Vancouver,0,1,1,1,0
7/5/2015,8:51,Robbie Keane,L.A. Galaxy,Chris Konopka,Toronto,Goal,L.A. Galaxy,Toronto,0,0,1,1,0
